response_id,containing_elements,continuation_of_prompt,considered_as_narrative,narrative_agent,type_of_narrator
wp036r005,no,yes,no,NA,NA
wp036r006,no,yes,no,NA,NA
wp036r007,no,yes,no,NA,NA
wp036r008,no,yes,no,NA,NA
wp036r009,no,yes,no,NA,NA
wp036r010,no,yes,no,NA,NA
wp036r011,no,yes,no,NA,NA
wp036r012,no,no,no,NA,NA
wp036r013,no,yes,no,NA,NA
wp036r014,no,no,no,NA,NA
wp036r015,no,yes,no,NA,NA
wp036r016,no,yes,no,NA,NA
wp036r017,no,yes,no,NA,NA
wp036r018,no,yes,no,NA,NA
wp036r019,no,yes,no,NA,NA
wp036r020,no,no,no,NA,NA
wp037r001,no,yes,no,NA,NA
wp037r002,no,yes,no,NA,NA
wp037r003,yes,yes,yes,IN,UNKNOWN
wp037r004,yes,yes,yes,UNKNOWN,UNKNOWN
wp037r005,yes,yes,yes,IN,UNKNOWN
wp037r006,no,yes,no,NA,NA
wp037r007,no,yes,no,NA,NA
wp037r008,no,yes,no,NA,NA
wp037r009,no,yes,no,NA,NA
wp037r010,yes,yes,no,NA,NA
wp037r011,no,no,no,NA,NA
wp037r012,no,no,no,NA,NA
wp037r013,yes,no,no,NA,NA
wp037r014,no,no,no,NA,NA
wp037r015,no,no,no,NA,NA
wp037r016,no,no,no,NA,NA
wp037r017,no,yes,no,NA,NA
wp037r018,no,no,no,NA,NA
wp037r019,yes,yes,no,NA,NA
wp037r020,no,yes,no,NA,NA
wp038r001,no,yes,no,NA,NA
wp038r002,no,yes,no,NA,NA
wp038r003,yes,yes,yes,UNKNOWN,EN
wp038r004,no,no,no,NA,NA
wp038r005,no,no,no,NA,NA
wp038r006,no,yes,no,NA,NA
wp038r007,no,yes,no,NA,NA
wp038r008,no,no,no,NA,NA
wp038r009,yes,yes,yes,UNKNOWN,EN
wp038r010,no,no,no,NA,NA
wp038r011,yes,yes,yes,UNKNOWN,EN
wp038r012,yes,yes,no,NA,NA
wp038r013,no,no,no,NA,NA
wp038r014,yes,yes,yes,UNKNOWN,EN
wp038r015,no,no,no,NA,NA
wp038r016,yes,no,no,NA,NA
wp038r017,yes,yes,yes,IN,CN
wp038r018,no,yes,no,NA,NA
wp038r019,yes,yes,no,NA,NA
wp038r020,no,yes,no,NA,NA
wp039r001,no,yes,no,NA,NA
wp039r002,no,yes,no,NA,NA
wp039r003,yes,yes,yes,IN,CN
wp039r004,yes,yes,no,NA,NA
wp039r005,yes,yes,no,NA,NA
wp039r006,no,no,no,NA,NA
wp039r007,no,no,no,NA,NA
wp039r008,no,no,no,NA,NA
wp039r009,yes,yes,yes,IN,UNKNOWN
wp039r010,yes,yes,yes,IN,EN
wp039r011,no,no,no,NA,NA
wp039r012,no,no,no,NA,NA
wp039r013,no,no,no,NA,NA
wp039r014,no,no,no,NA,NA
wp039r015,no,no,no,NA,NA
wp039r016,no,no,no,NA,NA
wp039r017,no,no,no,NA,NA
wp039r018,yes,yes,yes,UNKNOWN,UNKNOWN
wp039r019,no,no,no,NA,NA
wp039r020,no,no,no,NA,NA
wp040r001,no,yes,no,NA,NA
wp040r002,no,yes,no,NA,NA
wp040r003,no,yes,no,NA,NA
wp040r004,yes,yes,yes,IN,EN
wp040r005,no,no,no,NA,NA
wp040r006,yes,yes,yes,IN,EN
wp040r007,yes,yes,yes,IN,EN
wp040r008,no,yes,no,NA,NA
wp040r009,no,no,no,NA,NA
wp040r010,no,no,no,NA,NA
wp040r011,no,no,no,NA,NA
wp040r012,yes,yes,yes,IN,UNKNOWN
wp040r013,no,yes,no,NA,NA
wp040r014,no,yes,no,NA,NA
wp040r015,no,yes,no,NA,NA
wp040r016,yes,yes,yes,IN,EN
wp040r017,no,no,no,NA,NA
wp040r018,no,yes,no,NA,NA
wp040r019,no,yes,no,NA,NA
wp040r020,no,yes,no,NA,NA
wp041r001,no,yes,no,NA,NA
wp041r002,no,yes,no,NA,NA
wp041r003,no,yes,no,NA,NA
wp041r004,no,yes,no,NA,NA
wp041r005,no,yes,no,NA,NA
wp041r006,no,yes,no,NA,NA
wp041r007,no,yes,no,NA,NA
wp041r008,no,yes,no,NA,NA
wp041r009,no,yes,no,NA,NA
wp041r010,no,yes,no,NA,NA
wp041r011,no,no,no,NA,NA
wp041r012,no,no,no,NA,NA
wp041r013,no,no,no,NA,NA
wp041r014,no,no,no,NA,NA
wp041r015,no,no,no,NA,NA
wp041r016,no,no,no,NA,NA
wp041r017,yes,yes,no,NA,NA
wp041r018,yes,yes,no,NA,NA
wp041r019,no,no,no,NA,NA
wp041r020,no,no,no,NA,NA
wp042r001,yes,yes,no,NA,NA
wp042r002,no,yes,no,NA,NA
wp042r003,yes,yes,yes,IN,EN
wp042r004,no,no,no,NA,NA
wp042r005,yes,no,no,NA,NA
wp042r006,no,yes,no,NA,NA
wp042r007,no,no,no,NA,NA
wp042r008,no,yes,no,NA,NA
wp042r009,no,yes,no,NA,NA
wp042r010,no,yes,yes,IN,EN
wp042r011,no,no,no,NA,NA
wp042r012,no,no,no,NA,NA
wp042r013,no,yes,no,NA,NA
wp042r014,no,yes,no,NA,NA
wp042r015,no,no,no,NA,NA
wp042r016,no,no,no,NA,NA
wp042r017,yes,no,no,NA,NA
wp042r018,no,no,no,NA,NA
wp042r019,no,yes,no,NA,NA
wp042r020,no,no,no,NA,NA
wp043r001,no,yes,no,NA,NA
wp043r002,yes,yes,yes,IN,UNKNOWN
wp043r003,yes,yes,yes,IN,CN
wp043r004,no,yes,no,NA,NA
wp043r005,yes,yes,yes,IN,EN
wp043r006,yes,yes,yes,IN,UNKNOWN
wp043r007,yes,yes,no,NA,NA
wp043r008,no,yes,no,NA,NA
wp043r009,yes,yes,yes,IN,EN
wp043r010,yes,yes,yes,IN,EN
wp043r011,no,no,no,NA,NA
wp043r012,no,no,no,NA,NA
wp043r013,no,no,no,NA,NA
wp043r014,no,no,no,NA,NA
wp043r015,no,no,no,NA,NA
wp043r016,no,no,no,NA,NA
wp043r017,yes,no,no,NA,NA
wp043r018,no,no,no,NA,NA
wp043r019,yes,yes,yes,TUMBLR,EN
wp043r020,no,no,no,NA,NA
wp045r001,no,no,no,NA,NA
wp045r002,no,yes,no,NA,NA
wp045r003,no,no,no,NA,NA
wp045r004,yes,yes,yes,IN,CN
wp045r005,no,yes,yes,IN,CN
wp045r006,yes,yes,no,NA,NA
wp045r007,yes,yes,no,NA,NA
wp045r008,yes,yes,yes,IN,EN
wp045r009,yes,yes,no,NA,NA
wp045r010,yes,yes,yes,IN,CN
wp045r011,no,no,no,NA,NA
wp045r012,no,no,no,NA,NA
wp045r013,yes,yes,yes,IN,UNKNOWN
wp045r014,no,no,no,NA,NA
wp045r015,no,no,no,NA,NA
wp045r016,no,no,no,NA,NA
wp045r017,no,no,no,NA,NA
wp045r018,no,no,no,NA,NA
wp045r019,no,yes,no,NA,NA
wp045r020,no,no,no,NA,NA
wp046r001,no,yes,no,NA,NA
wp046r002,yes,yes,yes,UNKNOWN,UNKNOWN
wp046r003,no,yes,no,NA,NA
wp046r004,yes,yes,no,NA,NA
wp046r005,no,no,no,NA,NA
wp046r006,yes,yes,yes,TUMBLR,EN
wp046r007,no,yes,no,NA,NA
wp046r008,no,yes,no,NA,NA
wp046r009,no,no,no,NA,NA
wp046r010,no,yes,no,NA,NA
wp046r011,no,yes,no,NA,NA
wp046r012,no,yes,yes,UNKNOWN,UNKNOWN
wp046r013,no,no,no,NA,NA
wp046r014,no,yes,no,NA,NA
wp046r015,no,no,no,NA,NA
wp046r016,no,yes,no,NA,NA
wp046r017,no,yes,no,NA,NA
wp046r018,no,yes,no,NA,NA
wp046r019,no,yes,no,NA,NA
wp046r020,no,yes,no,NA,NA
wp047r001,no,yes,no,NA,NA
wp047r002,yes,yes,yes,IN,EN
wp047r003,no,yes,no,NA,NA
wp047r004,yes,yes,no,NA,NA
wp047r005,no,yes,no,NA,NA
wp047r006,yes,yes,yes,IN,UNKNOWN
wp047r007,yes,yes,no,NA,NA
wp047r008,yes,yes,no,NA,NA
wp047r009,yes,yes,no,NA,NA
wp047r010,yes,yes,yes,TUMBLR,CN
wp047r011,no,no,no,NA,NA
wp047r012,yes,yes,yes,TUMBLR,CN
wp047r013,no,no,no,NA,NA
wp047r014,yes,yes,yes,IN,UNKNOWN
wp047r015,no,no,no,NA,NA
wp047r016,no,no,no,NA,NA
wp047r017,no,yes,no,NA,NA
wp047r018,no,no,no,NA,NA
wp047r019,no,no,no,NA,NA
wp047r020,yes,yes,yes,IN,CN
wp048r001,yes,yes,no,NA,NA
wp048r002,yes,yes,yes,TUMBLR,CN
wp048r003,no,yes,no,NA,NA
wp048r004,no,yes,no,NA,NA
wp048r005,no,yes,no,NA,NA
wp048r006,yes,yes,yes,IN,EN
wp048r007,no,yes,no,NA,NA
wp048r008,yes,yes,yes,IN,UNKNOWN
wp048r009,no,yes,no,NA,NA
wp048r010,no,yes,no,NA,NA
wp048r011,no,yes,yes,TUMBLR,EN
wp048r012,no,yes,no,NA,NA
wp048r013,no,no,no,NA,NA
wp048r014,no,yes,no,NA,NA
wp048r015,no,no,no,NA,NA
wp048r016,no,no,no,NA,NA
wp048r017,yes,yes,no,NA,NA
wp048r018,no,yes,no,NA,NA
wp048r019,no,yes,no,NA,NA
wp048r020,yes,yes,yes,IN,CN
wp049r001,no,yes,no,NA,NA
wp049r002,no,yes,no,NA,NA
wp049r003,yes,yes,no,NA,NA
wp049r004,no,yes,no,NA,NA
wp049r005,no,yes,no,NA,NA
wp049r006,no,yes,no,NA,NA
wp049r007,yes,yes,yes,IN,CN
wp049r008,no,no,no,NA,NA
wp049r009,yes,yes,yes,TUMBLR,CN
wp049r010,yes,yes,yes,IN,EN
wp049r011,no,no,no,NA,NA
wp049r012,no,no,no,NA,NA
wp049r013,no,no,no,NA,NA
wp049r014,no,no,no,NA,NA
wp049r015,no,no,no,NA,NA
wp049r016,no,no,no,NA,NA
wp049r017,no,no,no,NA,NA
wp049r018,no,no,no,NA,NA
wp049r019,yes,yes,yes,IN,EN
wp049r020,yes,yes,yes,IN,EN
wp050r001,yes,yes,no,NA,NA
wp050r002,yes,yes,yes,UNKNOWN,UNKNOWN
wp050r003,no,no,no,NA,NA
wp050r004,yes,yes,yes,IN,CN
wp050r005,no,no,no,NA,NA
wp050r006,yes,no,no,NA,NA
wp050r007,yes,yes,yes,IN,CN
wp050r008,yes,yes,yes,IN,CN
wp050r009,no,no,no,NA,NA
wp050r010,no,no,no,NA,NA
wp050r011,no,no,no,NA,NA
wp050r012,no,no,no,NA,NA
wp050r013,no,no,no,NA,NA
wp050r014,no,no,no,NA,NA
wp050r015,no,no,no,NA,NA
wp050r016,no,no,no,NA,NA
wp050r017,yes,yes,yes,IN,CN
wp050r018,no,no,no,NA,NA
wp050r019,no,no,no,NA,NA
wp050r020,no,no,no,NA,NA
wp051r001,yes,yes,yes,TUMBLR,EN
wp051r002,yes,yes,yes,TUMBLR,EN
wp051r003,no,no,no,NA,NA
wp053r001,yes,yes,yes,TUMBLR,EN
wp053r002,yes,yes,yes,TUMBLR,EN
wp054r001,no,no,no,NA,NA
wp054r002,no,no,no,NA,NA
wp054r003,no,no,no,NA,NA
wp055r001,no,no,no,NA,NA
wp055r002,no,no,no,NA,NA
wp055r003,no,yes,no,NA,NA
wp055r004,yes,no,no,NA,NA
wp055r005,no,no,no,NA,NA
wp056r001,yes,yes,yes,UNKNOWN,UNKNOWN
wp056r002,yes,yes,yes,IN,CN
wp056r003,yes,yes,yes,UNKNOWN,EN
wp056r004,yes,yes,yes,IN,CN
wp056r005,no,no,no,NA,NA
wp056r006,no,no,no,NA,NA
wp057r001,no,no,no,NA,NA
wp057r002,no,no,no,NA,NA
wp058r001,yes,yes,no,NA,NA
wp058r002,no,no,no,NA,NA
wp058r003,no,no,no,NA,NA
wp059r001,no,no,no,NA,NA
wp059r002,no,no,no,NA,NA
wp059r003,no,no,no,NA,NA
wp059r004,yes,yes,yes,IN,CN
wp059r005,no,yes,no,NA,NA
wp059r006,no,yes,no,NA,NA
wp059r007,no,no,no,NA,NA
wp060r001,yes,yes,yes,IN,CN
wp060r002,no,no,no,NA,NA
wp061r001,yes,yes,yes,TUMBLR,EN
wp061r002,yes,yes,no,NA,NA
wp061r003,yes,yes,no,NA,NA
wp061r004,yes,yes,yes,TUMBLR,CN
wp061r005,yes,yes,yes,TUMBLR,EN
wp061r006,no,yes,no,NA,NA
wp061r007,yes,yes,no,NA,NA
wp061r008,yes,yes,no,NA,NA
wp061r009,yes,yes,no,NA,NA
wp061r010,yes,yes,no,NA,NA
wp061r011,yes,yes,no,NA,NA
wp061r012,yes,yes,no,NA,NA
wp061r013,yes,yes,no,NA,NA
wp061r014,yes,yes,no,NA,NA
wp061r015,yes,yes,yes,IN,EN
wp061r016,yes,yes,yes,TUMBLR,CN
wp061r017,yes,yes,no,NA,NA
wp061r018,no,no,no,NA,NA
wp061r019,yes,yes,yes,IN,CN
wp061r020,yes,yes,no,NA,NA
wp062r001,no,yes,yes,UNKNOWN,EN
wp062r002,yes,yes,no,NA,NA
wp062r003,yes,yes,no,NA,NA
wp062r004,yes,yes,yes,IN,CN
wp062r005,yes,no,no,NA,NA
wp062r006,no,no,no,NA,NA
wp063r001,no,yes,no,NA,NA
wp063r002,no,yes,no,NA,NA
wp063r003,no,yes,no,NA,NA
wp063r004,no,yes,no,NA,NA
wp063r005,no,yes,no,NA,NA
wp063r006,no,yes,no,NA,NA
wp063r007,yes,yes,yes,IN,CN
wp063r008,yes,yes,yes,TUMBLR,CN
wp063r009,no,no,no,NA,NA
wp064r001,no,no,no,NA,NA
wp064r002,no,no,no,NA,NA
wp065r001,no,yes,no,NA,NA
wp065r002,no,yes,no,NA,NA
wp065r003,no,yes,no,NA,NA
wp065r004,no,yes,no,NA,NA
wp065r005,no,yes,no,NA,NA
wp065r006,no,no,no,NA,NA
wp066r001,yes,yes,yes,UNKNOWN,EN
wp066r002,no,no,no,NA,NA
wp066r003,no,no,no,NA,NA
wp067r001,no,no,no,NA,NA
wp067r002,yes,yes,no,NA,NA
wp067r003,no,no,no,NA,NA
wp068r001,yes,yes,no,NA,NA
wp068r002,yes,yes,no,NA,NA
wp068r003,yes,yes,no,NA,NA
wp068r004,yes,no,no,NA,NA
wp068r005,no,no,no,NA,NA
wp069r001,no,yes,no,NA,NA
wp069r002,no,yes,no,NA,NA
wp069r003,yes,yes,no,NA,NA
wp069r004,yes,yes,no,NA,NA
wp069r005,yes,yes,no,NA,NA
wp069r006,no,no,no,NA,NA
wp072r001,yes,yes,no,NA,NA
wp072r002,yes,yes,no,NA,NA
wp072r003,yes,yes,no,NA,NA
wp073r001,no,yes,no,NA,NA
wp073r002,yes,yes,yes,IN,UNKNOWN
wp074r001,yes,yes,no,NA,NA
wp074r002,yes,yes,no,NA,NA
wp074r003,no,no,no,NA,NA
wp075r001,yes,yes,yes,IN,EN
wp076r001,no,no,no,NA,NA
wp077r001,yes,yes,no,NA,NA
wp079r001,yes,yes,yes,IN,CN
wp079r002,no,no,no,NA,NA
wp081r001,yes,yes,yes,TUMBLR,CN
wp083r001,yes,yes,no,NA,NA
wp083r002,yes,yes,no,NA,NA
wp083r003,yes,yes,no,NA,NA
wp084r001,yes,yes,no,NA,NA
wp086r001,no,no,no,NA,NA
wp088r001,no,no,no,NA,NA
wp090r001,yes,yes,no,NA,NA
wp093r001,yes,yes,no,NA,NA
wp094r001,yes,yes,no,NA,NA
wp098r001,yes,yes,yes,TUMBLR,CN
wp098r002,no,no,no,NA,NA
wp098r003,yes,yes,no,NA,NA
wp098r004,no,no,no,NA,NA
wp100r001,yes,yes,yes,TUMBLR,EN
wp101r001,no,no,no,NA,NA
wp102r001,yes,yes,no,NA,NA
wp103r001,yes,yes,yes,UNKNOWN,EN
wp103r002,no,no,no,NA,NA
wp104r001,no,no,no,NA,NA
wp104r002,no,no,no,NA,NA
wp105r001,no,no,no,NA,NA
wp105r002,no,no,no,NA,NA
wp105r003,yes,yes,yes,IN,CN
wp106r001,no,no,no,NA,NA
wp106r002,no,no,no,NA,NA
wp106r003,no,no,no,NA,NA
wp106r004,no,no,no,NA,NA
wp107r001,no,no,no,NA,NA
wp107r002,no,yes,no,NA,NA
wp108r001,no,no,no,NA,NA
wp108r002,no,no,no,NA,NA
wp109r001,no,no,no,NA,NA
wp110r001,no,no,no,NA,NA
wp111r001,no,no,no,NA,NA
wp111r002,no,no,no,NA,NA
wp112r001,no,no,no,NA,NA
wp113r001,no,no,no,NA,NA
wp113r002,no,no,no,NA,NA
wp114r001,no,no,no,NA,NA
wp115r001,no,no,no,NA,NA
wp116r001,no,no,no,NA,NA
wp116r002,no,no,no,NA,NA
wp117r001,no,no,no,NA,NA
wp117r002,no,no,no,NA,NA
wp118r001,no,no,no,NA,NA
wp119r001,no,no,no,NA,NA
wp120r001,no,yes,no,NA,NA
wp121r001,no,no,no,NA,NA
wp121r002,no,no,no,NA,NA
wp121r003,no,no,no,NA,NA
wp121r004,yes,yes,yes,IN,CN
wp122r001,yes,yes,yes,UNKNOWN,EN
wp124r001,no,no,no,NA,NA
wp125r001,no,yes,no,NA,NA
wp125r002,no,no,no,NA,NA
wp125r003,no,no,no,NA,NA
wp126r001,yes,no,no,NA,NA
wp127r001,no,yes,no,NA,NA
wp127r002,no,no,no,NA,NA
wp127r003,no,yes,no,NA,NA
wp127r004,no,no,no,NA,NA
wp127r005,no,no,no,NA,NA
wp128r001,no,yes,no,NA,NA
wp130r001,no,no,no,NA,NA
wp130r002,no,no,no,NA,NA
wp134r001,no,no,no,NA,NA
wp135r001,no,no,no,NA,NA
wp138r001,no,no,no,NA,NA
wp138r002,no,no,no,NA,NA
wp138r003,no,no,no,NA,NA
wp139r001,no,no,no,NA,NA
wp140r001,yes,yes,yes,TUMBLR,CN
wp141r001,yes,yes,yes,IN,EN
wp152r001,no,no,no,NA,NA
wp152r002,no,no,no,NA,NA
wp152r003,no,no,no,NA,NA
wp152r004,no,no,no,NA,NA
wp152r005,no,no,no,NA,NA
wp152r006,no,no,no,NA,NA
wp152r007,no,no,no,NA,NA
wp152r008,no,no,no,NA,NA
wp152r009,no,no,no,NA,NA
wp152r010,no,no,no,NA,NA
wp152r011,no,no,no,NA,NA
wp152r012,no,no,no,NA,NA
wp152r013,no,no,no,NA,NA
wp152r014,no,no,no,NA,NA
wp152r015,no,no,no,NA,NA
wp152r016,no,no,no,NA,NA
wp152r017,no,no,no,NA,NA
wp152r018,no,no,no,NA,NA
wp152r019,no,no,no,NA,NA
wp152r020,no,no,no,NA,NA
wp154r001,no,no,no,NA,NA
wp155r001,no,no,no,NA,NA
wp155r002,no,no,no,NA,NA
wp155r003,no,yes,no,NA,NA
wp155r004,no,no,no,NA,NA
wp155r005,no,yes,no,NA,NA
wp155r006,no,yes,no,NA,NA
wp155r007,no,no,no,NA,NA
wp155r008,no,no,no,NA,NA
wp155r009,no,no,no,NA,NA
wp155r010,no,no,no,NA,NA
wp155r011,no,no,no,NA,NA
wp155r012,no,no,no,NA,NA
wp155r013,no,no,no,NA,NA
wp155r014,no,no,no,NA,NA
wp155r015,no,no,no,NA,NA
wp155r016,no,no,no,NA,NA
wp155r017,no,no,no,NA,NA
wp155r018,no,no,no,NA,NA
wp155r019,no,no,no,NA,NA
wp155r020,no,no,no,NA,NA
wp156r001,no,no,no,NA,NA
wp156r002,no,no,no,NA,NA
wp156r003,no,no,no,NA,NA
wp156r004,no,no,no,NA,NA
wp156r005,no,no,no,NA,NA
wp156r006,yes,no,no,NA,NA
wp156r007,no,no,no,NA,NA
wp156r008,no,no,no,NA,NA
wp156r009,no,no,no,NA,NA
wp156r010,yes,no,no,NA,NA
wp156r011,no,no,no,NA,NA
wp156r012,no,no,no,NA,NA
wp156r013,no,no,no,NA,NA
wp156r014,no,no,no,NA,NA
wp156r015,no,no,no,NA,NA
wp156r016,no,no,no,NA,NA
wp156r017,no,no,no,NA,NA
wp156r018,no,no,no,NA,NA
wp156r019,yes,no,no,NA,NA
wp156r020,yes,no,no,NA,NA
wp157r001,no,no,no,NA,NA
wp157r002,no,no,no,NA,NA
wp157r003,yes,no,no,NA,NA
wp157r004,yes,no,no,NA,NA
wp157r005,no,no,no,NA,NA
wp157r006,no,no,no,NA,NA
wp157r007,yes,no,no,NA,NA
wp157r008,no,no,no,NA,NA
wp157r009,no,no,no,NA,NA
wp157r010,no,no,no,NA,NA
wp157r011,no,no,no,NA,NA
wp157r012,no,no,no,NA,NA
wp157r013,no,no,no,NA,NA
wp157r014,no,no,no,NA,NA
wp157r015,no,no,no,NA,NA
wp157r016,no,no,no,NA,NA
wp157r017,no,no,no,NA,NA
wp157r018,no,no,no,NA,NA
wp157r019,no,no,no,NA,NA
wp157r020,no,no,no,NA,NA
wp158r001,yes,no,no,NA,NA
wp158r002,no,no,no,NA,NA
wp158r003,yes,no,no,NA,NA
wp158r004,no,no,no,NA,NA
wp158r005,no,no,no,NA,NA
wp158r006,no,no,no,NA,NA
wp158r007,no,no,no,NA,NA
wp158r008,no,no,no,NA,NA
wp158r009,no,no,no,NA,NA
wp158r010,no,no,no,NA,NA
wp158r011,yes,no,no,NA,NA
wp158r012,no,no,no,NA,NA
wp158r013,no,no,no,NA,NA
wp158r014,no,no,no,NA,NA
wp158r015,no,no,no,NA,NA
wp158r016,no,no,no,NA,NA
wp158r017,no,no,no,NA,NA
wp158r018,no,no,no,NA,NA
wp158r019,no,no,no,NA,NA
wp158r020,yes,no,no,NA,NA
wp161r001,yes,yes,no,NA,NA
wp161r002,yes,yes,no,NA,NA
wp161r003,yes,yes,no,NA,NA
wp161r004,no,no,no,NA,NA
wp161r005,no,no,no,NA,NA
wp161r006,no,no,no,NA,NA
wp161r007,yes,yes,no,NA,NA
wp161r008,no,no,no,NA,NA
wp161r009,no,no,no,NA,NA
wp161r010,no,no,no,NA,NA
wp161r011,no,no,no,NA,NA
wp161r012,no,no,no,NA,NA
wp161r013,no,no,no,NA,NA
wp161r014,no,no,no,NA,NA
wp161r015,no,no,no,NA,NA
wp161r016,no,no,no,NA,NA
wp161r017,no,no,no,NA,NA
wp161r018,no,no,no,NA,NA
wp161r019,no,yes,no,NA,NA
wp161r020,no,yes,no,NA,NA
wp162r001,no,no,no,NA,NA
wp162r002,no,no,no,NA,NA
wp162r003,no,no,no,NA,NA
wp162r004,no,no,no,NA,NA
wp162r005,no,no,no,NA,NA
wp162r006,no,no,no,NA,NA
wp162r007,no,no,no,NA,NA
wp162r008,no,no,no,NA,NA
wp162r009,no,no,no,NA,NA
wp162r010,no,no,no,NA,NA
wp162r011,no,no,no,NA,NA
wp162r012,no,no,no,NA,NA
wp162r013,no,no,no,NA,NA
wp163r001,no,no,no,NA,NA
wp163r002,no,no,no,NA,NA
wp163r003,no,no,no,NA,NA
wp163r004,no,no,no,NA,NA
wp163r005,no,no,no,NA,NA
wp163r006,no,no,no,NA,NA
wp163r007,no,no,no,NA,NA
wp163r008,yes,yes,yes,IN,EN
wp163r009,yes,yes,no,NA,NA
wp163r010,no,yes,no,NA,NA
wp163r011,no,no,no,NA,NA
wp163r012,no,no,no,NA,NA
wp163r013,no,no,no,NA,NA
wp163r014,no,no,no,NA,NA
wp163r015,no,no,no,NA,NA
wp163r016,no,no,no,NA,NA
wp163r017,no,no,no,NA,NA
wp163r018,no,no,no,NA,NA
wp163r019,no,no,no,NA,NA
wp163r020,yes,yes,yes,IN,CN
wp166r001,yes,no,no,NA,NA
wp166r002,no,no,no,NA,NA
wp166r003,yes,no,no,NA,NA
wp166r004,no,no,no,NA,NA
wp166r005,no,no,no,NA,NA
wp166r006,yes,no,no,NA,NA
wp166r007,no,no,no,NA,NA
wp166r008,no,no,no,NA,NA
wp166r009,no,no,no,NA,NA
wp166r010,yes,no,no,NA,NA
wp166r011,yes,no,no,NA,NA
wp166r012,no,no,no,NA,NA
wp166r013,no,no,no,NA,NA
wp166r014,no,no,no,NA,NA
wp166r015,no,no,no,NA,NA
wp166r016,yes,no,no,NA,NA
wp166r017,no,no,no,NA,NA
wp166r018,no,no,no,NA,NA
wp166r019,no,no,no,NA,NA
wp166r020,yes,no,no,NA,NA
wp167r001,yes,no,no,NA,NA
wp167r002,yes,no,no,NA,NA
wp167r003,yes,yes,no,NA,NA
wp167r004,yes,no,no,NA,NA
wp167r005,yes,no,no,NA,NA
wp167r006,yes,no,no,NA,NA
wp167r007,yes,no,no,NA,NA
wp167r008,no,no,no,NA,NA
wp167r009,yes,no,no,NA,NA
wp167r010,yes,no,no,NA,NA
wp167r011,no,no,no,NA,NA
wp167r012,yes,no,no,NA,NA
wp167r013,no,no,no,NA,NA
wp167r014,yes,no,no,NA,NA
wp167r015,yes,no,no,NA,NA
wp167r016,no,no,no,NA,NA
wp167r017,no,no,no,NA,NA
wp167r018,no,no,no,NA,NA
wp167r019,no,no,no,NA,NA
wp167r020,yes,no,no,NA,NA
wp168r001,no,no,no,NA,NA
wp168r002,no,yes,yes,UNKNOWN,UNKNOWN
wp168r003,no,no,no,NA,NA
wp168r004,no,no,no,NA,NA
wp168r005,no,no,no,NA,NA
wp168r006,no,no,no,NA,NA
wp168r007,no,no,no,NA,NA
wp168r008,no,no,no,NA,NA
wp168r009,no,no,no,NA,NA
wp168r010,no,no,no,NA,NA
wp168r011,no,no,no,NA,NA
wp168r012,no,no,no,NA,NA
wp168r013,no,no,no,NA,NA
wp168r014,no,no,no,NA,NA
wp168r015,no,no,no,NA,NA
wp168r016,no,no,no,NA,NA
wp168r017,no,no,no,NA,NA
wp168r018,no,no,no,NA,NA
wp168r019,no,no,no,NA,NA
wp168r020,no,no,no,NA,NA
wp173r001,yes,yes,yes,IN,EN
wp173r002,no,no,no,NA,NA
wp173r003,no,no,no,NA,NA
wp173r004,no,no,no,NA,NA
wp173r005,no,no,no,NA,NA
wp173r006,no,no,no,NA,NA
wp173r007,no,no,no,NA,NA
wp173r008,no,no,no,NA,NA
wp173r009,no,no,no,NA,NA
wp173r010,no,no,no,NA,NA
wp173r011,no,yes,no,NA,NA
wp173r012,no,no,no,NA,NA
wp173r013,no,no,no,NA,NA
wp173r014,no,no,no,NA,NA
wp173r015,no,no,no,NA,NA
wp173r016,no,no,no,NA,NA
wp173r017,no,yes,no,NA,NA
wp173r018,no,no,no,NA,NA
wp173r019,no,no,no,NA,NA
wp173r020,no,no,no,NA,NA
wp175r001,no,no,no,NA,NA
