response_id,containing_elements,continuation_of_prompt,considered_as_narrative,narrative_agent,type_of_narrator
wp175r002,no,no,no,NA,NA
wp175r003,no,no,no,NA,NA
wp175r004,no,no,no,NA,NA
wp175r005,no,no,no,NA,NA
wp175r006,no,no,no,NA,NA
wp175r007,no,no,no,NA,NA
wp175r008,no,no,no,NA,NA
wp175r009,no,no,no,NA,NA
wp175r010,no,no,no,NA,NA
wp175r011,no,no,no,NA,NA
wp175r012,no,no,no,NA,NA
wp175r013,no,no,no,NA,NA
wp175r014,no,no,no,NA,NA
wp175r015,no,no,no,NA,NA
wp175r016,no,no,no,NA,NA
wp175r017,no,no,no,NA,NA
wp175r018,no,no,no,NA,NA
wp175r019,yes,yes,yes,IN,CN
wp175r020,no,no,no,NA,NA
wp176r001,no,no,no,NA,NA
wp176r002,no,no,no,NA,NA
wp176r003,no,no,no,NA,NA
wp176r004,no,no,no,NA,NA
wp176r005,no,no,no,NA,NA
wp176r006,no,no,no,NA,NA
wp176r007,no,no,no,NA,NA
wp176r008,no,no,no,NA,NA
wp176r009,no,no,no,NA,NA
wp176r010,no,no,no,NA,NA
wp176r011,no,no,no,NA,NA
wp176r012,no,no,no,NA,NA
wp176r013,no,no,no,NA,NA
wp176r014,no,no,no,NA,NA
wp176r015,no,no,no,NA,NA
wp176r016,no,no,no,NA,NA
wp176r017,no,no,no,NA,NA
wp176r018,no,no,no,NA,NA
wp176r019,no,no,no,NA,NA
wp176r020,yes,yes,yes,IN,CN
wp177r001,yes,yes,no,NA,NA
wp177r002,yes,yes,no,NA,NA
wp177r003,yes,yes,no,NA,NA
wp177r004,yes,yes,no,NA,NA
wp177r005,no,no,no,NA,NA
wp177r006,yes,yes,no,NA,NA
wp177r007,no,no,no,NA,NA
wp177r008,no,no,no,NA,NA
wp177r009,no,no,no,NA,NA
wp177r010,no,no,no,NA,NA
wp180r001,yes,no,no,NA,NA
wp180r002,no,no,no,NA,NA
wp180r003,yes,no,no,NA,NA
wp180r004,no,no,no,NA,NA
wp180r005,yes,no,no,NA,NA
wp180r006,no,no,no,NA,NA
wp180r007,no,no,no,NA,NA
wp180r008,yes,no,no,NA,NA
wp180r009,yes,no,no,NA,NA
wp180r010,no,no,no,NA,NA
wp180r011,yes,no,no,NA,NA
wp180r012,no,no,no,NA,NA
wp180r013,no,no,no,NA,NA
wp180r014,no,no,no,NA,NA
wp180r015,no,no,no,NA,NA
wp180r016,yes,no,no,NA,NA
wp180r017,yes,no,no,NA,NA
wp180r018,yes,no,no,NA,NA
wp180r019,no,no,no,NA,NA
wp180r020,no,no,no,NA,NA
wp185r001,no,no,no,NA,NA
wp185r002,no,no,no,NA,NA
wp185r003,yes,no,no,NA,NA
wp185r004,no,no,no,NA,NA
wp185r005,no,no,no,NA,NA
wp185r006,yes,no,no,NA,NA
wp185r007,yes,no,no,NA,NA
wp185r008,no,no,no,NA,NA
wp185r009,yes,no,no,NA,NA
wp185r010,no,no,no,NA,NA
wp185r011,no,no,no,NA,NA
wp185r012,no,no,no,NA,NA
wp185r013,no,no,no,NA,NA
wp185r014,yes,no,no,NA,NA
wp185r015,yes,no,no,NA,NA
wp185r016,yes,no,no,NA,NA
wp185r017,yes,no,no,NA,NA
wp185r018,no,no,no,NA,NA
wp185r019,no,no,no,NA,NA
wp185r020,no,no,no,NA,NA
wp189r001,no,no,no,NA,NA
wp189r002,no,no,no,NA,NA
wp189r003,no,no,no,NA,NA
wp189r004,no,no,no,NA,NA
wp189r005,no,no,no,NA,NA
wp189r006,no,no,no,NA,NA
wp189r007,no,no,no,NA,NA
wp189r008,yes,yes,no,NA,NA
wp189r009,no,no,no,NA,NA
wp189r010,no,no,no,NA,NA
wp189r011,no,no,no,NA,NA
wp189r012,yes,yes,yes,IN,CN
wp189r013,yes,yes,no,NA,NA
wp189r014,yes,yes,no,NA,NA
wp189r015,yes,yes,no,NA,NA
wp189r016,yes,yes,no,NA,NA
wp189r017,yes,yes,no,NA,NA
wp189r018,yes,yes,no,NA,NA
wp189r019,yes,yes,no,NA,NA
wp189r020,yes,no,no,NA,NA
wp191r001,no,no,no,NA,NA
wp191r002,no,no,no,NA,NA
wp191r003,no,no,no,NA,NA
wp191r004,yes,yes,yes,IN,EN
wp191r005,no,no,no,NA,NA
wp191r006,no,no,no,NA,NA
wp191r007,no,no,no,NA,NA
wp191r008,no,no,no,NA,NA
wp191r009,no,no,no,NA,NA
wp191r010,no,no,no,NA,NA
wp191r011,no,no,no,NA,NA
wp191r012,yes,yes,yes,TUMBLR,CN
wp191r013,no,no,no,NA,NA
wp191r014,no,no,no,NA,NA
wp191r015,no,no,no,NA,NA
wp191r016,no,no,no,NA,NA
wp191r017,no,no,no,NA,NA
wp191r018,no,no,no,NA,NA
wp191r019,no,no,no,NA,NA
wp191r020,no,no,no,NA,NA
wp193r001,no,no,no,NA,NA
wp193r002,no,no,no,NA,NA
wp193r003,no,no,no,NA,NA
wp193r004,yes,no,no,NA,NA
wp193r005,yes,no,no,NA,NA
wp193r006,yes,no,no,NA,NA
wp193r007,yes,no,no,NA,NA
wp193r008,no,no,no,NA,NA
wp193r009,no,no,no,NA,NA
wp193r010,yes,no,no,NA,NA
wp193r011,no,no,no,NA,NA
wp193r012,no,no,no,NA,NA
wp193r013,yes,yes,yes,TUMBLR,UNKNOWN
wp193r014,no,no,no,NA,NA
wp193r015,yes,no,no,NA,NA
wp193r016,no,no,no,NA,NA
wp193r017,no,no,no,NA,NA
wp193r018,no,no,no,NA,NA
wp193r019,no,no,no,NA,NA
wp193r020,no,no,no,NA,NA
wp194r001,yes,no,no,NA,NA
wp194r002,yes,no,no,NA,NA
wp194r003,no,no,no,NA,NA
wp194r004,yes,no,no,NA,NA
wp194r005,no,no,no,NA,NA
wp194r006,yes,no,no,NA,NA
wp194r007,yes,no,no,NA,NA
wp194r008,no,no,no,NA,NA
wp194r009,yes,no,no,NA,NA
wp194r010,no,no,no,NA,NA
wp196r001,no,no,no,NA,NA
wp196r002,yes,no,no,NA,NA
wp196r003,yes,no,no,NA,NA
wp196r004,no,no,no,NA,NA
wp196r005,no,no,no,NA,NA
wp196r006,yes,no,no,NA,NA
wp196r007,no,no,no,NA,NA
wp196r008,yes,no,no,NA,NA
wp196r009,no,no,no,NA,NA
wp196r010,yes,no,no,NA,NA
wp196r011,no,no,no,NA,NA
wp196r012,yes,no,no,NA,NA
wp196r013,no,no,no,NA,NA
wp196r014,yes,no,no,NA,NA
wp196r015,no,no,no,NA,NA
wp196r016,no,no,no,NA,NA
wp196r017,no,no,no,NA,NA
wp196r018,yes,no,no,NA,NA
wp196r019,yes,no,no,NA,NA
wp196r020,yes,no,no,NA,NA
wp199r001,no,no,no,NA,NA
wp199r002,yes,no,no,NA,NA
wp199r003,yes,no,no,NA,NA
wp199r004,yes,no,no,NA,NA
wp199r005,no,no,no,NA,NA
wp199r006,no,no,no,NA,NA
wp199r007,no,no,no,NA,NA
wp199r008,no,no,no,NA,NA
wp199r009,no,no,no,NA,NA
wp199r010,no,no,no,NA,NA
wp199r011,yes,yes,no,NA,NA
wp199r012,yes,no,no,NA,NA
wp199r013,no,no,no,NA,NA
wp199r014,no,no,no,NA,NA
wp199r015,yes,no,no,NA,NA
wp199r016,yes,no,no,NA,NA
wp199r017,no,no,no,NA,NA
wp199r018,no,no,no,NA,NA
wp199r019,no,no,no,NA,NA
wp199r020,yes,no,no,NA,NA
wp201r001,no,no,no,NA,NA
wp201r002,no,no,no,NA,NA
wp201r003,no,no,no,NA,NA
wp201r004,no,no,no,NA,NA
wp201r005,no,no,no,NA,NA
wp202r001,no,no,no,NA,NA
wp202r002,no,no,no,NA,NA
wp202r003,no,no,no,NA,NA
wp202r004,no,no,no,NA,NA
wp202r005,no,no,no,NA,NA
wp202r006,no,no,no,NA,NA
wp202r007,no,no,no,NA,NA
wp202r008,no,no,no,NA,NA
wp202r009,no,no,no,NA,NA
wp202r010,no,no,no,NA,NA
wp202r011,no,no,no,NA,NA
wp202r012,no,no,no,NA,NA
wp202r013,no,no,no,NA,NA
wp202r014,no,no,no,NA,NA
wp202r015,no,no,no,NA,NA
wp202r016,no,no,no,NA,NA
wp202r017,no,yes,yes,UNKNOWN,UNKNOWN
wp202r018,no,no,no,NA,NA
wp203r001,no,no,no,NA,NA
wp203r002,no,no,no,NA,NA
wp203r003,no,no,no,NA,NA
wp203r004,no,no,no,NA,NA
wp203r005,no,no,no,NA,NA
wp203r006,no,no,no,NA,NA
wp203r007,no,no,no,NA,NA
wp203r008,no,no,no,NA,NA
wp203r009,no,no,no,NA,NA
wp203r010,no,no,no,NA,NA
wp203r011,no,no,no,NA,NA
wp203r012,no,no,no,NA,NA
wp203r013,no,yes,yes,UNKNOWN,UNKNOWN
wp203r014,no,no,no,NA,NA
wp203r015,no,no,no,NA,NA
wp204r001,no,no,no,NA,NA
wp204r002,no,no,no,NA,NA
wp204r003,no,no,no,NA,NA
wp204r004,no,no,no,NA,NA
wp204r005,no,no,no,NA,NA
wp204r006,no,no,no,NA,NA
wp204r007,no,no,no,NA,NA
wp204r008,no,no,no,NA,NA
wp204r009,no,no,no,NA,NA
wp204r010,no,no,no,NA,NA
wp204r011,no,no,no,NA,NA
wp204r012,no,no,no,NA,NA
wp204r013,no,no,no,NA,NA
wp204r014,no,no,no,NA,NA
wp204r015,no,no,no,NA,NA
wp204r016,no,no,no,NA,NA
wp204r017,no,no,no,NA,NA
wp204r018,no,no,no,NA,NA
wp204r019,no,no,no,NA,NA
wp204r020,no,no,no,NA,NA
wp205r001,no,no,no,NA,NA
wp205r002,no,no,no,NA,NA
wp205r003,no,no,no,NA,NA
wp205r004,no,no,no,NA,NA
wp205r005,no,no,no,NA,NA
wp205r006,no,no,no,NA,NA
wp205r007,no,no,no,NA,NA
wp205r008,no,no,no,NA,NA
wp205r009,no,no,no,NA,NA
wp205r010,no,no,no,NA,NA
wp205r011,no,no,no,NA,NA
wp205r012,no,no,no,NA,NA
wp205r013,no,no,no,NA,NA
wp205r014,no,no,no,NA,NA
wp205r015,no,no,no,NA,NA
wp205r016,no,no,no,NA,NA
wp205r017,no,no,no,NA,NA
wp205r018,no,no,no,NA,NA
wp205r019,no,no,no,NA,NA
wp205r020,no,no,no,NA,NA
wp206r001,no,no,no,NA,NA
wp206r002,no,no,no,NA,NA
wp206r003,no,no,no,NA,NA
wp206r004,no,no,no,NA,NA
wp206r005,no,no,no,NA,NA
wp206r006,no,no,no,NA,NA
wp206r007,no,no,no,NA,NA
wp206r008,no,no,no,NA,NA
wp206r009,no,no,no,NA,NA
wp207r001,no,no,no,NA,NA
wp207r002,no,no,no,NA,NA
wp207r003,no,no,no,NA,NA
wp207r004,no,no,no,NA,NA
wp207r005,no,no,no,NA,NA
wp207r006,no,no,no,NA,NA
wp207r007,yes,yes,yes,IN,EN
wp207r008,no,no,no,NA,NA
wp207r009,no,no,no,NA,NA
wp208r001,no,no,no,NA,NA
wp208r002,yes,yes,yes,IN,EN
wp208r003,no,no,no,NA,NA
wp208r004,no,no,no,NA,NA
wp208r005,yes,yes,yes,IN,EN
wp208r006,no,no,no,NA,NA
wp208r007,no,no,no,NA,NA
wp209r001,no,no,no,NA,NA
wp209r002,no,no,no,NA,NA
wp209r003,no,no,no,NA,NA
wp209r004,no,no,no,NA,NA
wp209r005,no,no,no,NA,NA
wp209r006,no,no,no,NA,NA
wp209r007,no,no,no,NA,NA
wp210r001,no,no,no,NA,NA
wp210r002,no,no,no,NA,NA
wp210r003,no,no,no,NA,NA
wp210r004,no,yes,no,NA,NA
wp210r005,yes,yes,yes,IN,EN
wp210r006,no,no,no,NA,NA
wp210r007,yes,yes,yes,IN,EN
wp210r008,no,no,no,NA,NA
wp210r009,no,no,no,NA,NA
wp210r010,no,no,no,NA,NA
wp210r011,no,no,no,NA,NA
wp210r012,no,no,no,NA,NA
wp210r013,no,no,no,NA,NA
wp210r014,no,no,no,NA,NA
wp210r015,no,no,no,NA,NA
wp211r001,no,no,no,NA,NA
wp211r002,no,no,no,NA,NA
wp211r003,no,no,no,NA,NA
wp211r004,no,yes,no,NA,NA
wp211r005,yes,yes,yes,IN,EN
wp211r006,no,no,no,NA,NA
wp211r007,yes,yes,yes,IN,EN
wp211r008,no,no,no,NA,NA
wp211r009,no,no,no,NA,NA
wp211r010,no,no,no,NA,NA
wp211r011,no,no,no,NA,NA
wp211r012,no,no,no,NA,NA
wp211r013,no,no,no,NA,NA
wp211r014,no,no,no,NA,NA
wp211r015,no,no,no,NA,NA
wp212r001,no,no,no,NA,NA
wp212r002,no,no,no,NA,NA
wp212r003,no,no,no,NA,NA
wp212r004,no,no,no,NA,NA
wp212r005,no,no,no,NA,NA
wp212r006,yes,yes,yes,IN,CN
wp213r001,no,no,no,NA,NA
wp213r002,no,no,no,NA,NA
wp213r003,no,no,no,NA,NA
wp213r004,no,no,no,NA,NA
wp213r005,no,no,no,NA,NA
wp213r006,no,no,no,NA,NA
wp214r001,no,no,no,NA,NA
wp214r002,no,no,no,NA,NA
wp214r003,no,no,no,NA,NA
wp214r004,no,no,no,NA,NA
wp214r005,no,no,no,NA,NA
wp215r001,no,no,no,NA,NA
wp215r002,yes,yes,yes,IN,UNKNOWN
wp215r003,no,no,no,NA,NA
wp215r004,no,no,no,NA,NA
wp215r005,no,no,no,NA,NA
wp216r001,no,no,no,NA,NA
wp216r002,no,no,no,NA,NA
wp216r003,no,no,no,NA,NA
wp216r004,no,no,no,NA,NA
wp216r005,no,no,no,NA,NA
wp216r006,no,no,no,NA,NA
wp216r007,no,no,no,NA,NA
wp216r008,no,no,no,NA,NA
wp216r009,no,no,no,NA,NA
wp216r010,no,no,no,NA,NA
wp216r011,no,no,no,NA,NA
wp216r012,no,no,no,NA,NA
wp216r013,yes,yes,yes,IN,UNKNOWN
wp216r014,no,no,no,NA,NA
wp216r015,no,no,no,NA,NA
wp216r016,no,no,no,NA,NA
wp217r001,no,no,no,NA,NA
wp217r002,no,no,no,NA,NA
wp217r003,no,no,no,NA,NA
wp217r004,no,no,no,NA,NA
wp217r005,no,no,no,NA,NA
wp217r006,no,no,no,NA,NA
wp217r007,no,no,no,NA,NA
wp217r008,no,no,no,NA,NA
wp217r009,no,no,no,NA,NA
wp217r010,no,no,no,NA,NA
wp217r011,no,no,no,NA,NA
wp217r012,no,no,no,NA,NA
wp217r013,no,no,no,NA,NA
wp217r014,no,no,no,NA,NA
wp217r015,no,no,no,NA,NA
wp217r016,no,no,no,NA,NA
wp218r001,no,no,no,NA,NA
wp218r002,no,no,no,NA,NA
wp218r003,no,no,no,NA,NA
wp219r001,no,no,no,NA,NA
wp219r002,no,no,no,NA,NA
wp219r003,no,no,no,NA,NA
wp220r001,no,no,no,NA,NA
wp220r002,no,no,no,NA,NA
wp220r003,no,no,no,NA,NA
wp220r004,no,no,no,NA,NA
wp220r005,no,no,no,NA,NA
wp220r006,no,no,no,NA,NA
wp220r007,no,yes,no,NA,NA
wp220r008,no,no,no,NA,NA
wp220r009,no,no,no,NA,NA
wp220r010,no,no,no,NA,NA
wp220r011,no,no,no,NA,NA
wp221r001,no,no,no,NA,NA
wp221r002,no,no,no,NA,NA
wp221r003,no,no,no,NA,NA
wp221r004,no,no,no,NA,NA
wp221r005,no,no,no,NA,NA
wp221r006,no,no,no,NA,NA
wp221r007,no,yes,no,NA,NA
wp221r008,no,no,no,NA,NA
wp221r009,no,no,no,NA,NA
wp221r010,no,no,no,NA,NA
wp222r001,no,no,no,NA,NA
wp222r002,no,no,no,NA,NA
wp222r003,yes,no,no,NA,NA
wp222r004,no,no,no,NA,NA
wp222r005,no,yes,no,NA,NA
wp222r006,no,no,no,NA,NA
wp222r007,no,no,no,NA,NA
wp222r008,no,yes,no,NA,NA
wp222r009,no,no,no,NA,NA
wp222r010,no,no,no,NA,NA
wp222r011,no,no,no,NA,NA
wp223r001,no,no,no,NA,NA
wp223r002,no,no,no,NA,NA
wp223r003,yes,no,no,NA,NA
wp223r004,no,no,no,NA,NA
wp223r005,no,yes,no,NA,NA
wp223r006,no,no,no,NA,NA
wp223r007,no,no,no,NA,NA
wp223r008,no,yes,no,NA,NA
wp223r009,no,no,no,NA,NA
wp223r010,no,no,no,NA,NA
wp223r011,no,no,no,NA,NA
wp224r001,no,no,no,NA,NA
wp224r002,no,no,no,NA,NA
wp224r003,no,no,no,NA,NA
wp224r004,yes,no,no,NA,NA
wp224r005,no,no,no,NA,NA
wp224r006,no,no,no,NA,NA
wp224r007,no,no,no,NA,NA
wp225r001,no,no,no,NA,NA
wp225r002,no,no,no,NA,NA
wp225r003,no,no,no,NA,NA
wp225r004,no,no,no,NA,NA
wp225r005,no,no,no,NA,NA
wp225r006,no,yes,no,NA,NA
wp225r007,no,no,no,NA,NA
wp226r001,no,no,no,NA,NA
wp226r002,no,no,no,NA,NA
wp226r003,no,no,no,NA,NA
wp226r004,no,no,no,NA,NA
wp226r005,no,no,no,NA,NA
wp226r006,no,no,no,NA,NA
wp226r007,no,no,no,NA,NA
wp226r008,no,no,no,NA,NA
wp226r009,no,no,no,NA,NA
wp226r010,no,no,no,NA,NA
wp226r011,no,no,no,NA,NA
wp226r012,no,no,no,NA,NA
wp226r013,no,no,no,NA,NA
wp226r014,no,no,no,NA,NA
wp226r015,no,no,no,NA,NA
wp226r016,no,no,no,NA,NA
wp226r017,no,no,no,NA,NA
wp226r018,no,no,no,NA,NA
wp227r001,no,no,no,NA,NA
wp227r002,no,no,no,NA,NA
wp227r003,no,no,no,NA,NA
wp227r004,no,no,no,NA,NA
wp227r005,no,no,no,NA,NA
wp227r006,no,no,no,NA,NA
wp227r007,no,yes,no,NA,NA
wp227r008,no,no,no,NA,NA
wp227r009,no,no,no,NA,NA
wp227r010,no,no,no,NA,NA
wp227r011,no,no,no,NA,NA
wp227r012,no,no,no,NA,NA
wp227r013,no,no,no,NA,NA
wp227r014,no,no,no,NA,NA
wp227r015,no,no,no,NA,NA
wp227r016,no,no,no,NA,NA
wp227r017,no,no,no,NA,NA
wp227r018,no,no,no,NA,NA
wp228r001,no,no,no,NA,NA
wp228r002,no,no,no,NA,NA
wp228r003,no,no,no,NA,NA
wp228r004,no,no,no,NA,NA
wp228r005,no,no,no,NA,NA
wp228r006,no,no,no,NA,NA
wp228r007,no,no,no,NA,NA
wp228r008,no,no,no,NA,NA
wp229r001,no,no,no,NA,NA
wp229r002,no,no,no,NA,NA
wp229r003,no,no,no,NA,NA
wp229r004,no,no,no,NA,NA
wp229r005,no,yes,yes,IN,CN
wp229r006,no,no,no,NA,NA
wp229r007,no,no,no,NA,NA
wp229r008,no,no,no,NA,NA
wp230r001,yes,no,no,NA,NA
wp230r002,no,no,no,NA,NA
wp230r003,no,no,no,NA,NA
wp230r004,no,no,no,NA,NA
wp230r005,no,no,no,NA,NA
wp230r006,no,no,no,NA,NA
wp230r007,no,no,no,NA,NA
wp231r001,no,no,no,NA,NA
wp231r002,no,no,no,NA,NA
wp231r003,no,no,no,NA,NA
wp231r004,no,no,no,NA,NA
wp231r005,no,no,no,NA,NA
wp231r006,no,no,no,NA,NA
wp231r007,no,no,no,NA,NA
wp232r001,no,no,no,NA,NA
wp232r002,no,no,no,NA,NA
wp232r003,no,no,no,NA,NA
wp232r004,no,no,no,NA,NA
wp232r005,no,no,no,NA,NA
wp232r006,no,no,no,NA,NA
wp232r007,no,no,no,NA,NA
wp233r001,no,no,no,NA,NA
wp233r002,no,no,no,NA,NA
wp233r003,no,no,no,NA,NA
wp233r004,no,no,no,NA,NA
wp233r005,no,no,no,NA,NA
wp233r006,no,no,no,NA,NA
wp233r007,no,no,no,NA,NA
wp233r008,no,no,no,NA,NA
wp233r009,no,no,no,NA,NA
wp233r010,no,no,no,NA,NA
wp233r011,no,no,no,NA,NA
wp234r001,no,no,no,NA,NA
wp234r002,no,no,no,NA,NA
wp234r003,no,no,no,NA,NA
wp234r004,no,no,no,NA,NA
wp234r005,no,no,no,NA,NA
wp234r006,no,no,no,NA,NA
wp234r007,no,no,no,NA,NA
wp234r008,no,no,no,NA,NA
wp234r009,no,no,no,NA,NA
wp234r010,no,no,no,NA,NA
wp234r011,no,no,no,NA,NA
wp235r001,no,no,no,NA,NA
wp235r002,no,no,no,NA,NA
wp235r003,no,no,no,NA,NA
wp235r004,no,no,no,NA,NA
wp235r005,no,no,no,NA,NA
wp235r006,no,no,no,NA,NA
wp235r007,no,no,no,NA,NA
wp235r008,no,no,no,NA,NA
wp235r009,no,no,no,NA,NA
wp236r001,no,no,no,NA,NA
wp236r002,no,no,no,NA,NA
wp236r003,no,no,no,NA,NA
wp236r004,no,no,no,NA,NA
wp236r005,no,yes,no,NA,NA
wp236r006,no,no,no,NA,NA
wp236r007,no,no,no,NA,NA
wp236r008,no,no,no,NA,NA
wp236r009,no,no,no,NA,NA
wp237r001,no,no,no,NA,NA
wp237r002,no,no,no,NA,NA
wp237r003,no,no,no,NA,NA
wp237r004,no,no,no,NA,NA
wp237r005,no,no,no,NA,NA
wp237r006,no,no,no,NA,NA
wp237r007,no,no,no,NA,NA
wp237r008,no,no,no,NA,NA
wp238r001,no,no,no,NA,NA
wp238r002,no,no,no,NA,NA
wp238r003,no,no,no,NA,NA
wp238r004,no,no,no,NA,NA
wp238r005,no,no,no,NA,NA
wp238r006,no,no,no,NA,NA
wp238r007,no,no,no,NA,NA
wp238r008,no,no,no,NA,NA
wp239r001,no,no,no,NA,NA
wp239r002,no,no,no,NA,NA
wp239r003,no,no,no,NA,NA
wp239r004,no,no,no,NA,NA
wp239r005,no,no,no,NA,NA
wp239r006,no,no,no,NA,NA
wp239r007,no,no,no,NA,NA
wp240r001,no,no,no,NA,NA
wp240r002,no,no,no,NA,NA
wp240r003,no,no,no,NA,NA
wp240r004,no,no,no,NA,NA
wp240r005,no,no,no,NA,NA
wp240r006,no,no,no,NA,NA
wp240r007,no,no,no,NA,NA
wp241r001,yes,yes,yes,IN,EN
wp241r002,no,no,no,NA,NA
wp241r003,no,no,no,NA,NA
wp241r004,no,no,no,NA,NA
wp241r005,no,no,no,NA,NA
wp241r006,no,no,no,NA,NA
wp241r007,no,no,no,NA,NA
wp241r008,no,no,no,NA,NA
wp242r001,yes,yes,yes,IN,EN
wp242r002,no,no,no,NA,NA
wp242r003,no,no,no,NA,NA
wp242r004,no,no,no,NA,NA
wp242r005,no,no,no,NA,NA
wp242r006,no,no,no,NA,NA
wp242r007,no,no,no,NA,NA
wp242r008,no,no,no,NA,NA
wp243r001,no,yes,no,NA,NA
wp243r002,no,no,no,NA,NA
wp243r003,no,no,no,NA,NA
wp243r004,no,no,no,NA,NA
wp243r005,no,no,no,NA,NA
wp243r006,no,no,no,NA,NA
wp243r007,no,no,no,NA,NA
wp243r008,no,no,no,NA,NA
wp244r001,no,yes,no,NA,NA
wp244r002,no,no,no,NA,NA
wp244r003,no,no,no,NA,NA
wp244r004,no,no,no,NA,NA
wp244r005,no,no,no,NA,NA
wp244r006,no,no,no,NA,NA
wp244r007,no,no,no,NA,NA
wp244r008,no,no,no,NA,NA
wp245r001,no,no,no,NA,NA
wp245r002,no,no,no,NA,NA
wp245r003,no,no,no,NA,NA
wp245r004,yes,yes,yes,IN,EN
wp245r005,yes,no,no,NA,NA
wp245r006,no,no,no,NA,NA
wp245r007,no,no,no,NA,NA
wp245r008,no,yes,no,NA,NA
wp245r009,no,no,no,NA,NA
wp245r010,no,no,no,NA,NA
wp245r011,yes,yes,yes,IN,EN
wp245r012,no,no,no,NA,NA
wp245r013,no,no,no,NA,NA
wp245r014,no,no,no,NA,NA
wp245r015,no,no,no,NA,NA
wp246r001,no,no,no,NA,NA
wp246r002,no,no,no,NA,NA
wp246r003,no,no,no,NA,NA
wp246r004,yes,yes,yes,IN,EN
wp246r005,yes,no,no,NA,NA
wp246r006,no,no,no,NA,NA
wp246r007,no,no,no,NA,NA
wp246r008,no,yes,no,NA,NA
wp246r009,no,no,no,NA,NA
wp246r010,no,no,no,NA,NA
wp246r011,yes,yes,yes,IN,EN
wp246r012,no,no,no,NA,NA
wp246r013,no,no,no,NA,NA
wp246r014,no,no,no,NA,NA
wp246r015,no,no,no,NA,NA
wp247r001,no,no,no,NA,NA
wp247r002,no,yes,no,NA,NA
wp247r003,no,no,no,NA,NA
wp247r004,no,no,no,NA,NA
wp247r005,no,no,no,NA,NA
wp247r006,no,no,no,NA,NA
wp247r007,no,no,no,NA,NA
wp247r008,no,no,no,NA,NA
wp247r009,no,yes,no,NA,NA
wp247r010,no,no,no,NA,NA
wp247r011,no,no,no,NA,NA
wp247r012,no,no,no,NA,NA
wp247r013,no,no,no,NA,NA
wp247r014,no,no,no,NA,NA
wp247r015,no,no,no,NA,NA
wp247r016,no,no,no,NA,NA
wp247r017,no,no,no,NA,NA
wp247r018,no,no,no,NA,NA
wp247r019,no,no,no,NA,NA
wp247r020,no,no,no,NA,NA
wp248r001,no,no,no,NA,NA
wp248r002,no,yes,no,NA,NA
wp248r003,no,no,no,NA,NA
wp248r004,no,no,no,NA,NA
wp248r005,no,no,no,NA,NA
wp248r006,no,no,no,NA,NA
wp248r007,no,no,no,NA,NA
wp248r008,no,no,no,NA,NA
wp248r009,no,yes,no,NA,NA
wp248r010,no,no,no,NA,NA
wp248r011,no,no,no,NA,NA
wp248r012,no,no,no,NA,NA
wp248r013,no,no,no,NA,NA
wp248r014,no,no,no,NA,NA
wp248r015,no,no,no,NA,NA
wp248r016,no,no,no,NA,NA
wp248r017,no,no,no,NA,NA
wp248r018,no,no,no,NA,NA
wp248r019,no,no,no,NA,NA
wp248r020,no,no,no,NA,NA
wp249r001,no,yes,no,NA,NA
wp249r002,no,no,no,NA,NA
wp249r003,no,yes,no,NA,NA
wp249r004,no,no,no,NA,NA
wp249r005,no,no,no,NA,NA
wp249r006,no,no,no,NA,NA
wp249r007,no,no,no,NA,NA
wp249r008,no,no,no,NA,NA
wp249r009,no,no,no,NA,NA
wp250r001,no,yes,no,NA,NA
wp250r002,no,no,no,NA,NA
wp250r003,no,yes,no,NA,NA
wp250r004,no,no,no,NA,NA
wp250r005,no,no,no,NA,NA
